,MolecularWeight,RotatableBonds,TPSA,HBA,HBD,QED
count,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
mean,310.93614916999996,4.482988,77.88519568,4.505486,1.527401,0.8037981257105914
std,39.3277359547658,1.6015577282268525,14.075489247635648,1.2544957064747084,0.7739804805321541,0.060141891970908024
min,219.24699999999999,0.0,60.03,1.0,0.0,0.7000000634088134
25%,279.77099999999996,3.0,66.91,4.0,1.0,0.7542690593034029
50%,313.15500000000003,4.0,74.77000000000001,4.0,2.0,0.8006010409276332
75%,340.4490000000001,6.0,85.97,5.0,2.0,0.8496465855909221
max,485.223,10.0,162.57,10.0,4.0,0.9482470798234033
